DOWNLOADED,ALL
7C82.pdb.gz,5E0J
7C62.pdb.gz,5DOM
7C5Z.pdb.gz,5E0M
7C4I.pdb.gz,5DOL
7C04.pdb.gz,5E0L
7C2D.pdb.gz,5E10
7C2C.pdb.gz,5E0G
7C2A.pdb.gz,5E1Z
7BYW.pdb.gz,5E22
7BYU.pdb.gz,5E1U
7BWH.pdb.gz,5E1X
7BW1.pdb.gz,5E1W
7BVX.pdb.gz,5E1K
7BVV.pdb.gz,5DPN
7BV0.pdb.gz,5E1N
7BUT.pdb.gz,5E1P
7BTD.pdb.gz,5DPO
7BRT.pdb.gz,5DQ0
7BRQ.pdb.gz,5E20
7BRN.pdb.gz,5DPA
7BQI.pdb.gz,5E1F
6ZU8.pdb.gz,5E3B
6ZFF.pdb.gz,5DQY
6ZE9.pdb.gz,5E2D
6ZCT.pdb.gz,5DRV
6ZCO.pdb.gz,5E3D
6Z4Y.pdb.gz,5E3F
6Z4U.pdb.gz,5DRE
6Z3L.pdb.gz,5DRH
6Z3H.pdb.gz,5E3G
6Z3G.pdb.gz,6PBA
6YUN.pdb.gz,6PBB
6YUE.pdb.gz,6PAX
6YTS.pdb.gz,6PAZ
6YTM.pdb.gz,6PCE
6YR8.pdb.gz,6OFP
6YQU.pdb.gz,6OG0
6YQT.pdb.gz,6OHL
6YQP.pdb.gz,6OHK
6YQO.pdb.gz,6OIM
6YQN.pdb.gz,6OIL
6YPF.pdb.gz,6OK8
6YPB.pdb.gz,6OLN
6YOA.pdb.gz,6OL3
6YNG.pdb.gz,6ON0
6YMK.pdb.gz,6ONQ
6YMJ.pdb.gz,6ONT
6YMI.pdb.gz,6P05
6YLB.pdb.gz,6ON6
6YL7.pdb.gz,6ON8
6YK6.pdb.gz,6OMX
6YK5.pdb.gz,6P0O
6YK4.pdb.gz,6P0N
6YK3.pdb.gz,6P0Q
6YK2.pdb.gz,6OOU
6YJX.pdb.gz,6OOT
6YJN.pdb.gz,6P0G
6YIP.pdb.gz,6P0F
6YIN.pdb.gz,6P0I
6YIM.pdb.gz,6P0K
6YIL.pdb.gz,6P0J
6YIH.pdb.gz,6P0M
6YIF.pdb.gz,6P0L
6YI3.pdb.gz,6OOD
6YDR.pdb.gz,6OPT
6YBY.pdb.gz,6OPS
6YAS.pdb.gz,6OPV
6Y98.pdb.gz,6OPU
6Y95.pdb.gz,6P1C
6Y94.pdb.gz,6P1F
6Y78.pdb.gz,6P38
6Y43.pdb.gz,6OQK
6Y16.pdb.gz,6OQJ
6Y15.pdb.gz,6OQM
6Y10.pdb.gz,6OQB
6Y9J.pdb.gz,6P2E
6Y8W.pdb.gz,6OQD
6Y8V.pdb.gz,6OPX
6Y8M.pdb.gz,6OPW
6Y8I.pdb.gz,6P28
6Y7U.pdb.gz,6OPZ
6Y7R.pdb.gz,6OPY
6Y07.pdb.gz,6P1Y
6Y6M.pdb.gz,6OS4
6Y6E.pdb.gz,6P3P
6Y06.pdb.gz,6P39
6Y5T.pdb.gz,6OSW
6Y5S.pdb.gz,6OT8
6Y4Q.pdb.gz,6OSX
6Y4P.pdb.gz,6P4D
6Y4O.pdb.gz,6P4I
6Y4H.pdb.gz,6OTL
6Y4C.pdb.gz,6OTD
6Y3U.pdb.gz,6P5D
6Y3E.pdb.gz,6P5F
6Y3B.pdb.gz,6P5E
6Y2W.pdb.gz,6OTG
6Y2V.pdb.gz,6P5G
6Y2C.pdb.gz,6P4Z
6Y1J.pdb.gz,6OV7
6Y0Z.pdb.gz,6P6C
6XZ3.pdb.gz,6OVC
6XZ0.pdb.gz,6OWY
6XYN.pdb.gz,6OWX
6XYA.pdb.gz,6OWZ
6XY4.pdb.gz,6OWR
6XY1.pdb.gz,6OXX
6XY0.pdb.gz,6OXW
6XXU.pdb.gz,6OXZ
6XXT.pdb.gz,6P9Z
6XXP.pdb.gz,6OXY
6XXO.pdb.gz,6OXP
6XW9.pdb.gz,6OY1
6XVT.pdb.gz,6OXO
6XVS.pdb.gz,6OY0
6XVR.pdb.gz,6OXR
6XVQ.pdb.gz,6OXQ
6XVN.pdb.gz,6OY2
6XVE.pdb.gz,6OXT
6XVD.pdb.gz,6OXS
6XVC.pdb.gz,6OXV
6XV7.pdb.gz,6OXU
6XV4.pdb.gz,6P9G
6XUZ.pdb.gz,6P9B
6XUW.pdb.gz,6P9A
6XUO.pdb.gz,6P9E
6XUA.pdb.gz,6OZX
6XU9.pdb.gz,6PBQ
6XU5.pdb.gz,6PBO
6XTT.pdb.gz,6PCL
6XTK.pdb.gz,6PCK
6XPM.pdb.gz,6PFL
6XPL.pdb.gz,6PGY
6XPK.pdb.gz,6PH1
6XPH.pdb.gz,6PH0
6XPG.pdb.gz,6PI4
6XKA.pdb.gz,6PJI
6XEH.pdb.gz,6PJH
6XE4.pdb.gz,6PJK
6XD8.pdb.gz,6PJM
6XBV.pdb.gz,6PJL
6XBT.pdb.gz,6PJO
6XBS.pdb.gz,6PJN
6XBR.pdb.gz,6PJB
6XBQ.pdb.gz,6PJE
6XAE.pdb.gz,6PJD
6X11.pdb.gz,6PJG
6X7D.pdb.gz,6PJF
6X7C.pdb.gz,6PJV
6X7B.pdb.gz,6PMO
6X5P.pdb.gz,6Q00
6X5L.pdb.gz,6Q10
6X5J.pdb.gz,6Q0Q
6X4Q.pdb.gz,6PNW
6X4P.pdb.gz,6PNY
6X4O.pdb.gz,6Q09
6X4N.pdb.gz,721P
6X4M.pdb.gz,6PQ3
6X3Y.pdb.gz,6Q1M
6X3R.pdb.gz,6PPA
6X3P.pdb.gz,6Q17
6X3N.pdb.gz,6PR7
6X2D.pdb.gz,6PR6
6X1L.pdb.gz,6Q2U
6WZZ.pdb.gz,6PRQ
6WYI.pdb.gz,6Q3P
6WXM.pdb.gz,6Q41
6WXD.pdb.gz,6Q44
6WW4.pdb.gz,6Q43
6WW3.pdb.gz,6PRT
6WUP.pdb.gz,6Q3V
6WQE.pdb.gz,6PRH
6WQ9.pdb.gz,6PRA
6WQ8.pdb.gz,6PRB
6WQ7.pdb.gz,6PRD
6WQ5.pdb.gz,6PRF
6WQ4.pdb.gz,6PR9
6WP8.pdb.gz,6PR8
6WNS.pdb.gz,6Q2Z
6WN5.pdb.gz,6PSB
6WLU.pdb.gz,6PS9
6WLT.pdb.gz,6Q5S
6WLR.pdb.gz,6PU8
6WLQ.pdb.gz,6Q5J
6WLM.pdb.gz,6PTL
6WLL.pdb.gz,6PTP
6WLK.pdb.gz,6Q5P
6WLJ.pdb.gz,6Q6T
6WJP.pdb.gz,6PUV
6WJO.pdb.gz,6Q77
6WJM.pdb.gz,6Q76
6WIS.pdb.gz,6Q6W
6WIQ.pdb.gz,6PUP
6WIP.pdb.gz,6Q6R
6WIN.pdb.gz,6Q6C
6WII.pdb.gz,6PW8
6WI5.pdb.gz,6Q88
6WGP.pdb.gz,6Q87
6WFN.pdb.gz,6Y06
6WFI.pdb.gz,6Y07
6WFH.pdb.gz,6XPK
6WF7.pdb.gz,6XPL
6WF6.pdb.gz,6Y2M
6WEY.pdb.gz,6Y2C
6WEN.pdb.gz,6ZU8
6WCF.pdb.gz,6Y25
6WC1.pdb.gz,6Y3E
6WAY.pdb.gz,6Y2W
6WAX.pdb.gz,6Y33
6WA5.pdb.gz,6Y2T
6WA4.pdb.gz,6Y34
6WA3.pdb.gz,6Y2V
6W50.pdb.gz,6Y4P
6W40.pdb.gz,6Y4O
6W15.pdb.gz,6Y4C
6W14.pdb.gz,6Y4H
6W9S.pdb.gz,6Y3Q
6W9Q.pdb.gz,6Y6M
6W9O.pdb.gz,6XUA
6W9I.pdb.gz,6XTT
6W9H.pdb.gz,6XU5
6W8E.pdb.gz,6XU9
6W7Z.pdb.gz,6XVN
6W7P.pdb.gz,6XVQ
6W5E.pdb.gz,6XVR
6W4L.pdb.gz,6XVE
6W4B.pdb.gz,6XVC
6W04.pdb.gz,6XV7
6W3W.pdb.gz,6XUW
6W3G.pdb.gz,6Y78
6W3F.pdb.gz,6XUZ
6W3D.pdb.gz,6Y8M
6W2W.pdb.gz,6Y95
6W2Q.pdb.gz,6Y94
6W0L.pdb.gz,6Y8I
6VZK.pdb.gz,6XW9
6VXY.pdb.gz,6XXO
6VWE.pdb.gz,6XY0
6VVJ.pdb.gz,6XXP
6VVB.pdb.gz,6XY1
6VUJ.pdb.gz,6XY4
6VUF.pdb.gz,6XXU
6VUC.pdb.gz,6Y8V
6VUB.pdb.gz,6Y8W
6VTI.pdb.gz,6XZ3
6VSX.pdb.gz,6XYA
6VSI.pdb.gz,7C2A
6VQF.pdb.gz,7C2D
6VPS.pdb.gz,7C2C
6VPJ.pdb.gz,6YB4
6VPI.pdb.gz,7BQI
6VPH.pdb.gz,7BRQ
6VPG.pdb.gz,7BRN
6VOQ.pdb.gz,7BTD
6VOP.pdb.gz,7C4I
6VOE.pdb.gz,6YDR
6VOD.pdb.gz,7C5Z
6VO4.pdb.gz,7BUT
6VMY.pdb.gz,7BWH
6VMT.pdb.gz,7C84
6VLV.pdb.gz,7C85
6VLU.pdb.gz,7C82
6VKG.pdb.gz,6YI3
6VJV.pdb.gz,6YIN
6VJ4.pdb.gz,6YIP
6VJ3.pdb.gz,6YIM
6VIY.pdb.gz,6YIL
6VIP.pdb.gz,6YJX
6VIK.pdb.gz,6YPF
6VIF.pdb.gz,6YPB
6VIB.pdb.gz,6YPR
6VIA.pdb.gz,6YQO
6VI9.pdb.gz,6YQN
6VI8.pdb.gz,6YQP
6VI7.pdb.gz,6Z4U
6VI6.pdb.gz,6Z7L
6VI5.pdb.gz,6Z7M
6VI3.pdb.gz,6Z7F
6VHL.pdb.gz,6Z7G
6VHI.pdb.gz,6WW3
6VHF.pdb.gz,6WW4
6VH6.pdb.gz,6X7C
6VGW.pdb.gz,6WZZ
6VGV.pdb.gz,6ZB1
6VG5.pdb.gz,6ZB0
6VFV.pdb.gz,6ZB3
6VET.pdb.gz,6ZB2
6VEH.pdb.gz,6ZCO
6VEE.pdb.gz,6ZCT
6VED.pdb.gz,6ZE9
6VDG.pdb.gz,6ZF9
6VDA.pdb.gz,6ZEL
6VD8.pdb.gz,6ZED
6VCR.pdb.gz,6XBQ
6VCQ.pdb.gz,6XBS
6VCP.pdb.gz,6XBR
6VCO.pdb.gz,6XBT
6VCN.pdb.gz,6XBV
6VCE.pdb.gz,6XD8
6VBF.pdb.gz,6XEH
6VAG.pdb.gz,145L
6VA5.pdb.gz,1A03
6V98.pdb.gz,122L
6V88.pdb.gz,146L
6V83.pdb.gz,121P
6V73.pdb.gz,1A18
6V72.pdb.gz,1A17
6V71.pdb.gz,1A15
6V70.pdb.gz,123L
6V64.pdb.gz,147L
6V14.pdb.gz,1A19
6V8V.pdb.gz,1A0B
6V8U.pdb.gz,1A0A
6V7S.pdb.gz,1A0K
6V7R.pdb.gz,148L
6V7Q.pdb.gz,1A1X
6V7P.pdb.gz,1A29
6V7M.pdb.gz,7DFR
6V6Y.pdb.gz,1A24
6V6P.pdb.gz,1A23
6V6G.pdb.gz,1A1H
6V5L.pdb.gz,1A1G
6V5E.pdb.gz,1A1F
6V4T.pdb.gz,1A1D
6V4G.pdb.gz,1A1L
6V4F.pdb.gz,1A1K
6V3N.pdb.gz,1A1J
6V2S.pdb.gz,1A1I
6V1U.pdb.gz,149L
6V1L.pdb.gz,1A2U
6V1K.pdb.gz,1A2T
6V1H.pdb.gz,1A34
6V1F.pdb.gz,1A33
6V1E.pdb.gz,101M
6V1D.pdb.gz,125L
6V0X.pdb.gz,1A2I
6V0U.pdb.gz,1A2B
6UZF.pdb.gz,1A2J
6UYZ.pdb.gz,126L
6UYY.pdb.gz,1A3Z
6UYX.pdb.gz,1A3V
6UYV.pdb.gz,1A3U
6UYU.pdb.gz,1A3T
6UYT.pdb.gz,1A45
6UYS.pdb.gz,1A3S
6UYR.pdb.gz,1A44
6UYQ.pdb.gz,102M
6UYP.pdb.gz,102L
6UYO.pdb.gz,1A3D
6UY9.pdb.gz,1A3C
6UY8.pdb.gz,7I1B
6UY7.pdb.gz,1A3K
6UXF.pdb.gz,127L
6UX8.pdb.gz,1A58
6UX1.pdb.gz,1A4V
6UWX.pdb.gz,1A57
6UWU.pdb.gz,7LYZ
6UWO.pdb.gz,103M
6UVM.pdb.gz,103L
6UVJ.pdb.gz,8RAT
6UUX.pdb.gz,1A4P
6UUI.pdb.gz,128L
6UUE.pdb.gz,1A5X
6UTS.pdb.gz,1A5W
6UTC.pdb.gz,1A5V
6USZ.pdb.gz,1A67
6USY.pdb.gz,104M
6US6.pdb.gz,1A5J
6US4.pdb.gz,7LZM
6US3.pdb.gz,1A5E
6US2.pdb.gz,1A64
6UPJ.pdb.gz,1A5R
6UOF.pdb.gz,1A63
6UN2.pdb.gz,1A5Q
6UN0.pdb.gz,1A62
6UMZ.pdb.gz,1A5P
6UMY.pdb.gz,105M
6UMV.pdb.gz,129L
6UMU.pdb.gz,1A7E
6UKK.pdb.gz,1A7D
6UKC.pdb.gz,1A6M
6UIZ.pdb.gz,1A6L
6UIY.pdb.gz,1A6K
6UIU.pdb.gz,1A6G
6UI0.pdb.gz,1A6F
6UGG.pdb.gz,7HSC
6UFM.pdb.gz,1A6P
6UFK.pdb.gz,1A6N
6UFJ.pdb.gz,106M
6UFE.pdb.gz,1A8G
6UF1.pdb.gz,1A7M
6UEY.pdb.gz,1A7H
6UET.pdb.gz,1A86
6UES.pdb.gz,1A85
6UDV.pdb.gz,107M
6UDU.pdb.gz,107L
6UDT.pdb.gz,1A8Z
6UDI.pdb.gz,8CHO
6UD2.pdb.gz,8PAZ
6UCR.pdb.gz,1A90
6UBG.pdb.gz,7UPJ
6U83.pdb.gz,108M
6U81.pdb.gz,108L
6U64.pdb.gz,1A9M
6U53.pdb.gz,1A9V
6U50.pdb.gz,109M
6U41.pdb.gz,109L
6U19.pdb.gz,9LYZ
6U7P.pdb.gz,1AA0
6U7O.pdb.gz,9HVP
6U6V.pdb.gz,1AAC
6U6S.pdb.gz,1AAP
6U6R.pdb.gz,1AB0
6U6Q.pdb.gz,1AAN
6U6P.pdb.gz,1AAL
6U6N.pdb.gz,1AAJ
6U5G.pdb.gz,190L
6U5E.pdb.gz,1AA2
6U5D.pdb.gz,1AA9
6U5C.pdb.gz,1ABO
6U4W.pdb.gz,1AC0
6U4U.pdb.gz,191L
6U4N.pdb.gz,1AAR
6U3S.pdb.gz,1AAQ
6U3R.pdb.gz,1AB2
6U3L.pdb.gz,8RNT
6U3B.pdb.gz,1AAZ
6U0X.pdb.gz,1AAY
6U0W.pdb.gz,1ACF
6TZW.pdb.gz,1ACD
6TZ3.pdb.gz,1ABV
6TYY.pdb.gz,192L
6TYJ.pdb.gz,1ABS
6TX9.pdb.gz,1ADL
6TX8.pdb.gz,1ACZ
6TX7.pdb.gz,966C
6TX6.pdb.gz,1ACX
6TX5.pdb.gz,1AD6
6TX4.pdb.gz,193L
6TWE.pdb.gz,1AEL
6TVL.pdb.gz,195L
6TRR.pdb.gz,1AF5
6TR8.pdb.gz,1AF3
6TQQ.pdb.gz,1AEP
6TQP.pdb.gz,170L
6TQB.pdb.gz,1AE7
6TPT.pdb.gz,194L
6TPH.pdb.gz,196L
6TOO.pdb.gz,1AG4
6TON.pdb.gz,1AG2
6TOM.pdb.gz,1AEX
6TOL.pdb.gz,1AEW
6TOK.pdb.gz,171L
6TOJ.pdb.gz,173L
6TOI.pdb.gz,197L
6TOH.pdb.gz,172L
6TOG.pdb.gz,198L
6TOF.pdb.gz,151L
6TOB.pdb.gz,199L
6TLX.pdb.gz,152L
6THS.pdb.gz,153L
6TH8.pdb.gz,177L
6TGY.pdb.gz,130L
6TGP.pdb.gz,154L
6TGK.pdb.gz,178L
6TGG.pdb.gz,155C
6TG7.pdb.gz,131L
6TG5.pdb.gz,155L
6TFB.pdb.gz,132L
6TDH.pdb.gz,156L
6TDG.pdb.gz,133L
6TDF.pdb.gz,157L
6TD7.pdb.gz,110M
6TCE.pdb.gz,110L
6TCC.pdb.gz,134L
6TBZ.pdb.gz,7INS
6TAZ.pdb.gz,158L
6TAN.pdb.gz,159L
6TAM.pdb.gz,111M
6T84.pdb.gz,111L
6T7O.pdb.gz,135L
6T6J.pdb.gz,112M
6T6C.pdb.gz,112L
6T5V.pdb.gz,7RAT
6T5S.pdb.gz,113L
6T5B.pdb.gz,138L
6T2J.pdb.gz,114L
6T2F.pdb.gz,9ILB
6T2E.pdb.gz,115L
6T2D.pdb.gz,139L
6T1O.pdb.gz,8DFR
6T1N.pdb.gz,7PAZ
6T1M.pdb.gz,8I1B
6T1L.pdb.gz,118L
6T1J.pdb.gz,8LYZ
6T1I.pdb.gz,9RAT
6T1B.pdb.gz,119L
6T0Y.pdb.gz,7RNT
6T0P.pdb.gz,7RSA
6T0M.pdb.gz,821P
6SZC.pdb.gz,9RNT
6SYG.pdb.gz,181L
6SVS.pdb.gz,182L
6SRQ.pdb.gz,184L
6SRP.pdb.gz,9ANT
6SRO.pdb.gz,183L
6SRJ.pdb.gz,185L
6SR5.pdb.gz,160L
6SR4.pdb.gz,162L
6SR3.pdb.gz,186L
6SR2.pdb.gz,161L
6SR1.pdb.gz,163L
6SR0.pdb.gz,187L
6SQP.pdb.gz,140L
6SQL.pdb.gz,164L
6SQD.pdb.gz,188L
6SQB.pdb.gz,7FD1
6SQ9.pdb.gz,141L
6SQ7.pdb.gz,165L
6SQ5.pdb.gz,189L
6SPZ.pdb.gz,7FDR
6SPV.pdb.gz,142L
6SP6.pdb.gz,166L
6SP0.pdb.gz,143L
6SOR.pdb.gz,120L
6SOQ.pdb.gz,144L
6SOP.pdb.gz,1Q9S
6SOO.pdb.gz,1Q8X
6SON.pdb.gz,1Q9G
6SOM.pdb.gz,1Q9F
6SOE.pdb.gz,1PXD
6SO9.pdb.gz,1PYL
6SM6.pdb.gz,1PZ4
6SM4.pdb.gz,1PZR
6SM2.pdb.gz,1PZQ
6SM1.pdb.gz,1PZV
6SLY.pdb.gz,1PZB
6SLX.pdb.gz,1PZA
6SLW.pdb.gz,1PZC
6SLV.pdb.gz,1QAU
6SL8.pdb.gz,1QAD
6SL6.pdb.gz,1QBU
6SKX.pdb.gz,1QBT
6SK9.pdb.gz,1QBS
6SK1.pdb.gz,1QBR
6SJX.pdb.gz,1QBH
6SJW.pdb.gz,1QCZ
6SJQ.pdb.gz,1QCY
6SJM.pdb.gz,1QCQ
6SIQ.pdb.gz,1QD0
6SIP.pdb.gz,1QCK
6SIO.pdb.gz,1QDD
6SIN.pdb.gz,1QEY
6SIM.pdb.gz,1QF9
6SIL.pdb.gz,1QG7
6SIK.pdb.gz,1QG5
6SIJ.pdb.gz,1QFP
6SHT.pdb.gz,1QG1
6SHO.pdb.gz,1QFN
6SGO.pdb.gz,1QHE
6SGK.pdb.gz,1QGV
6SGI.pdb.gz,1QHY
6SGH.pdb.gz,1QHX
6SGD.pdb.gz,1QIB
6SFG.pdb.gz,1QHN
6SF3.pdb.gz,1QHV
6SF1.pdb.gz,1QHS
6SEZ.pdb.gz,1QHQ
6SEX.pdb.gz,1QJH
6SEW.pdb.gz,1QIO
6SEU.pdb.gz,1QJ0
6SET.pdb.gz,1QJ9
6SEO.pdb.gz,1QJ8
6SE4.pdb.gz,1QIV
6SDY.pdb.gz,1QKD
6SDW.pdb.gz,1QJP
6SDT.pdb.gz,1QK8
6SDS.pdb.gz,1QLK
6SDJ.pdb.gz,1QLI
6SDF.pdb.gz,1QKQ
6SD7.pdb.gz,1QL2
6SCR.pdb.gz,1QKL
6SCQ.pdb.gz,1QKK
6SCP.pdb.gz,1QMC
6SBX.pdb.gz,1QLS
6SBT.pdb.gz,1QM3
6SBS.pdb.gz,1QM2
6SBP.pdb.gz,1QM1
6SBH.pdb.gz,1QM0
6SB7.pdb.gz,1QM9
6SAY.pdb.gz,1QND
6SAT.pdb.gz,1QNK
6SAS.pdb.gz,1QNG
6SAP.pdb.gz,1QMT
6SAN.pdb.gz,1QMR
6SAL.pdb.gz,1QN1
6SAI.pdb.gz,1QN0
6SAG.pdb.gz,1R14
6SAF.pdb.gz,1R13
6SAE.pdb.gz,1R0Q
6SAC.pdb.gz,1QOW
6SA5.pdb.gz,1QQH
6SA4.pdb.gz,1R2M
6S68.pdb.gz,1QQL
6S63.pdb.gz,232L
6S57.pdb.gz,1QQI
6S56.pdb.gz,1QPV
6S55.pdb.gz,1QPU
6S46.pdb.gz,1R26
6S45.pdb.gz,1QQ4
6S44.pdb.gz,1QQ3
6S40.pdb.gz,1R21
6S39.pdb.gz,1R29
6S36.pdb.gz,233L
6S27.pdb.gz,1R2X
6S25.pdb.gz,1R2W
6S19.pdb.gz,1R36
6S10.pdb.gz,1QQS
6S9Z.pdb.gz,1R2Q
6S9R.pdb.gz,1QRA
6S9Q.pdb.gz,1QQY
6S9K.pdb.gz,1QSR
6S9G.pdb.gz,1QT3
